"Timestamp","Spieler-ID","Alter","Geschlecht","Berufliche Tätigkeit bzw. Bereich der Ausbildung oder des Studiums","Wie oft spielst du Computerspiele?","Welche Art von Spiel spielst du für gewöhnlich?","Wie gut hat dir das Spiel insgesamt gefallen?","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich kompetent in dem Spiel.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich das Spiel spiele, fühle ich mich in eine andere Zeit und an einen anderen Ort versetzt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich habe in dem Spiel interessante Optionen und Entscheidungsmöglichkeiten.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Die Spielwelt zu erkunden, fühlt sich an, als würde man einen realen Ausflug an einen neuen Ort machen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich finde die Beziehungen, die ich in dem Spiel gründe, erfüllend.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich mich durch die Spielwelt bewege, fühle ich mich, als wäre ich tatsächlich da.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Es war einfach, die Steuerung/Bedienung des Spiels zu lernen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ereignisse im Spiel haben mich emotional nicht betroffen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich beim Spielen sehr fähig und erfolgreich.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Das Spiel ist emotional einnehmend.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Das Spiel lässt mich interessante Sache tun.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich erlebe Gefühle im Spiel geauso stark wie im realen Leben.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich finde die Beziehungen, die ich in diesem Spiel begründe, wichtig.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich das Spiel spiele, fühle ich mich, als wäre ich Teil der Geschichte.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Die Spielsteuerung ist intuitiv.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich im Spiel etwas erreicht habe, habe ich echten Stolz gefühlt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Meine Spielfähigkeit passt gut zu den Herausforderungen des Spiels.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich hatte Reaktionen zu Ereignissen und Charakteren im Spiel, als wären sie real.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich habe im Spiel sehr viel Freiheit erlebt.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich fühle mich anderen Menschen nicht nahe.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Wenn ich im Spiel etwas machen wollte, war es einfach, sich an die entsprechende Steuerung zu erinnern.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Es fiel mir schwer, die Abstände zwischen Wörtern für die richtigen Plätze in der Brücke abzuschätzen.]","Denke über deine Erfahrungen nach und lege anschließend deine Zustimmung (siehe Hinweis) bezüglich der nachfolgenden Aussagen fest. [Ich hatte Schwierigkeiten, passende Wörter bei der Auswahl vor dem Einbauen in die Brücke zu finden.]","Was hat dir besonders gut gefallen?","Was hat dir nicht so gut gefallen?","Weitere Anmerkungen"
"2021/01/14 3:41:43 PM GMT+1","712","20 - 29","Weiblich","Landwirtschaft, Natur, Umwelt","Nie","Logic","4","2","1","5","1","1","1","7","4","2","2","4","1","1","1","7","4","4","1","5","4","7","5","5","Süße kleine Hamster! ","Also manche Zuordnung war einfach SEHR unerwartet...","Gefühlt konnte ich selbst gewählte Worte platzieren wie ich wollte - sie passten immer."
"2021/01/14 5:16:08 PM GMT+1","154","20 - 29","Weiblich","Kunst, Kultur, Gestaltung","1 - 5 Stunden im Monat","Logic","4","4","6","6","6","5","5","4","3","3","5","5","3","4","6","4","6","3","4","2","6","5","6","6","Schickes Design","Teils etwas unübersichtlich zum Spielen. Im ersten Level hätte ich gerne die Wortauswahl neben der Brücke, um da direkt aus dem ganzen Pool schöpfen zu können, um das Gameplay noch zu lernen.",""
"2021/01/14 5:48:04 PM GMT+1","164","30 - 39","Männlich","IT, Computer","1 - 5 Stunden die Woche","Strategy","4","2","6","6","5","1","5","7","1","2","1","5","1","1","3","7","2","3","3","2","5","7","6","5","Die Graphiken","Die Abstände der Brückenpfeiler zu erinnern",""
"2021/01/14 6:17:44 PM GMT+1","952","20 - 29","Weiblich","IT, Computer","Nie","Keine","3","2","3","3","3","5","4","2","3","1","4","2","4","3","5","6","4","2","3","2","3","6","5","4","Die intuitive Spielsteuerung und die Spielidee (eine Brücke bauen zu müssen). Das Spiel hat mein Interesse geweckt.","Ich konnte nur schwer abschätzen, welche Wörter welche Länge ergeben","Vielleicht würde in der Beschreibung des Spiels eine gezeigte Länge zwischen zwei Beispielwörtern helfen, um sich am Anfang besser zurechtzufinden. Ansonsten sehr gelungenes Spiel, hat mir gut gefallen. :)"
"2021/01/14 6:58:11 PM GMT+1","143","20 - 29","Weiblich","Medien","1 - 5 Stunden die Woche","Adventure;Role Playing Games;Strategy","4","4","5","7","1","1","1","5","4","3","4","6","2","1","1","5","5","4","5","3","2","6","3","6","Die Möglichkeit, Wörter selbst zu wählen
Interessantes Konzept, habe ich so noch nicht gesehen","Dass man die Brücken während der Auswahl nicht sieht, man muss sich also bevor man auf Auswahl drückt merken, wie die Brücken aufgestellt sind.
Dass die Lemminge die ganze Zeit über durch das Spiel laufen verursacht bei mir ein wenig Stress.",""
"2021/01/15 4:02:48 PM GMT+1","825","30 - 39","Männlich","Technik","1 - 5 Stunden die Woche","Action;Adventure;Casual;Role Playing Games;Strategy","3","6","1","4","1","1","1","7","5","5","1","2","1","1","2","7","2","5","1","2","2","7","2","2","","",""
"2021/01/15 4:14:49 PM GMT+1","395","20 - 29","Anderes","IT, Computer","1 - 5 Stunden die Woche","Logic;Role Playing Games;Strategy;Andere","3","2","2","3","1","3","1","5","7","5","1","4","1","1","1","7","4","4","1","1","1","7","5","5","","",""
"2021/01/15 4:17:00 PM GMT+1","1028","20 - 29","Männlich","IT, Computer","1 - 3 Stunden pro Tag","Action;Adventure","4","5","1","5","1","1","1","6","6","5","1","3","2","1","1","5","5","5","2","2","2","7","5","3","Das interessante Spielkonzept","Das ich den Abstand mancher Wörter nicht gut abgeschätz hab (Nadel hatte Abstand 1 zu Klopapier)","Kleiner Bug: Wenn die Brücke fertig ist und die Lemminge rübergelaufen sind und man etwas wartet schwimmen sie zurück, als wären sie weiter hinten heruntergefallen."
"2021/01/15 5:10:42 PM GMT+1","682","20 - 29","Weiblich","Linguistik, Sprachwissenschaften","1 - 5 Stunden im Monat","Adventure;Casual;Role Playing Games;Strategy;Andere","2","3","1","2","1","2","1","5","3","2","1","2","2","4","2","4","4","4","1","1","7","6","5","5","Das Design/ die Grafik, die extra Level mit vorgegebenen Wörtern, die Anleitung.","Ich habe teilweise nicht verstanden, warum die Entfernung von Wörtern durch die entstehenden Brückenstücke so festgelegt wurde. Meiner Meinung nach „nahe“ Wörter konnte ich dadurch nicht da einordnen, wo sie meiner Meinung nach hingehören. Andere haben wiederum ein zu kleines Brückenstück gebildet. Dadurch muss man ewig puzzeln bis es passt, wenn man denn auch die passenden Wörter ausgewählt hat. Sonst muss man eben ständig das Lebel neu starten. ","Ich hätte mir vielleicht noch eine allgemeine Information gewünscht, die den Zweck des Spiels erklärt."
"2021/01/15 5:17:44 PM GMT+1","191","20 - 29","Männlich","IT, Computer","1 - 5 Stunden die Woche","Action;Role Playing Games;Simulation;Strategy","4","6","5","6","2","1","1","7","6","5","2","5","2","1","2","7","5","5","1","4","4","7","2","5","Die innovative Idee semantische Ähnlichkeit darzustellen und potenzielle Use Cases","Dass man bei der Auswahl der Wörter für den Beutel die Brückenpfeiler-Konstellation nicht parallel sehen konnte","Wäre bestimmt gut als ""Human Computation Game"" nutzbar, um Daten zum Training von Machine Learning Modellen für semantische Ähnlichkeit zu gewinnen oder zum Sprachen lernen (vielleicht auch mit Wörtern in zwei Sprachen)"
