Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen,Ursprung
Bleistift-Buegeleisen,4,2,initial,682,standard,0,1,studie
Faden-Bleistift,2,1,gleich,672,standard,2,3,studie
Faden-Bleistift,3,2,anders,261,bonus,1,3,studie
Faden-Bleistift,1,1,initial,480,standard,0,3,studie
Bleistift-Feuerzeug,6,3,anders,803,bonus,2,3,studie
Bleistift-Feuerzeug,1,1,anders,306,standard,1,3,studie
Bleistift-Feuerzeug,3,2,initial,629,standard,0,3,studie
Bleistift-Gemuesemesser,5,3,initial,682,bonus,0,1,studie
Bleistift-Geschirrtuch,5,3,gleich,663,standard,1,2,studie
Bleistift-Geschirrtuch,5,3,initial,825,standard,0,2,studie
Hemd-Bleistift,3,2,gleich,738,standard,2,3,studie
Hemd-Bleistift,4,2,anders,261,bonus,1,3,studie
Hemd-Bleistift,2,1,initial,391,standard,0,3,studie
Kerze-Bleistift,3,2,anders,672,bonus,1,2,studie
Kerze-Bleistift,4,2,initial,933,standard,0,2,studie
Bleistift-Klebeband,1,1,anders,672,standard,3,4,studie
Bleistift-Klebeband,4,2,anders,865,bonus,2,4,studie
Bleistift-Klebeband,4,2,anders,216,standard,1,4,studie
Bleistift-Klebeband,2,1,initial,143,bonus,0,4,studie
Bleistift-Kochloeffel,3,2,anders,825,bonus,3,4,studie
Bleistift-Kochloeffel,5,3,anders,728,bonus,2,4,studie
Bleistift-Kochloeffel,4,2,anders,216,standard,1,4,studie
Bleistift-Kochloeffel,3,2,initial,592,standard,0,4,studie
Bleistift-Kochtopf,6,3,anders,1008,standard,4,5,studie
Bleistift-Kochtopf,2,1,anders,672,standard,3,5,studie
Bleistift-Kochtopf,4,2,gleich,256,bonus,2,5,studie
Bleistift-Kochtopf,3,2,anders,738,standard,1,5,studie
Bleistift-Kochtopf,5,3,initial,710,standard,0,5,studie
Bleistift-Kopfhoerer,1,1,anders,672,standard,3,4,studie
Bleistift-Kopfhoerer,4,2,gleich,629,bonus,2,4,studie
Bleistift-Kopfhoerer,6,3,anders,1056,bonus,1,4,studie
Bleistift-Kopfhoerer,1,1,initial,143,standard,0,4,studie
Bleistift-Kugelschreiber,4,2,anders,672,standard,7,8,studie
Bleistift-Kugelschreiber,3,2,gleich,738,standard,6,8,studie
Bleistift-Kugelschreiber,6,3,anders,261,standard,5,8,studie
Bleistift-Kugelschreiber,1,1,anders,663,standard,4,8,studie
Bleistift-Kugelschreiber,1,1,anders,391,standard,3,8,studie
Bleistift-Kugelschreiber,4,2,anders,306,standard,2,8,studie
Bleistift-Kugelschreiber,4,2,anders,607,standard,1,8,studie
Bleistift-Kugelschreiber,2,1,initial,143,bonus,0,8,studie
Bleistift-Papiertaschentuch,2,1,anders,480,standard,2,3,studie
Bleistift-Papiertaschentuch,3,2,gleich,191,standard,1,3,studie
Bleistift-Papiertaschentuch,3,2,0,0,0,0,3,vorstudie
Bleistift-Schwamm,5,3,initial,231,standard,0,1,studie
Bleistift-Spuelmittel,3,2,anders,803,bonus,2,3,studie
Bleistift-Spuelmittel,6,3,gleich,261,standard,1,3,studie
Bleistift-Spuelmittel,6,3,initial,1056,bonus,0,3,studie
Streichholz-Bleistift,1,1,anders,672,standard,3,4,studie
Streichholz-Bleistift,5,3,gleich,938,standard,2,4,studie
Streichholz-Bleistift,5,3,gleich,682,standard,1,4,studie
Streichholz-Bleistift,5,3,initial,712,standard,0,4,studie
Bleistift-Teller,4,2,initial,256,bonus,0,1,studie
Topfdeckel-Bleistift,2,1,anders,306,standard,1,2,studie
Topfdeckel-Bleistift,5,3,initial,629,standard,0,2,studie
Waescheklammer-Bleistift,1,1,anders,643,standard,2,3,studie
Waescheklammer-Bleistift,4,2,gleich,261,bonus,1,3,studie
Waescheklammer-Bleistift,4,2,initial,629,bonus,0,3,studie
