Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen
Bleistift-Buegeleisen,4,2,initial,682,standard,0,1
Faden-Bleistift,2,1,gleich,672,standard,2,3
Faden-Bleistift,3,2,anders,261,bonus,1,3
Faden-Bleistift,1,1,initial,480,standard,0,3
Bleistift-Feuerzeug,6,3,anders,803,bonus,2,3
Bleistift-Feuerzeug,1,1,anders,306,standard,1,3
Bleistift-Feuerzeug,3,2,initial,629,standard,0,3
Bleistift-Gemuesemesser,5,3,initial,682,bonus,0,1
Bleistift-Geschirrtuch,5,3,gleich,663,standard,1,2
Bleistift-Geschirrtuch,5,3,initial,825,standard,0,2
Hemd-Bleistift,3,2,gleich,738,standard,2,3
Hemd-Bleistift,4,2,anders,261,bonus,1,3
Hemd-Bleistift,2,1,initial,391,standard,0,3
Kerze-Bleistift,3,2,anders,672,bonus,1,2
Kerze-Bleistift,4,2,initial,933,standard,0,2
Bleistift-Klebeband,1,1,anders,672,standard,3,4
Bleistift-Klebeband,4,2,anders,865,bonus,2,4
Bleistift-Klebeband,4,2,anders,216,standard,1,4
Bleistift-Klebeband,2,1,initial,143,bonus,0,4
Bleistift-Kochloeffel,3,2,anders,825,bonus,3,4
Bleistift-Kochloeffel,5,3,anders,728,bonus,2,4
Bleistift-Kochloeffel,4,2,anders,216,standard,1,4
Bleistift-Kochloeffel,3,2,initial,592,standard,0,4
Bleistift-Kochtopf,6,3,anders,1008,standard,4,5
Bleistift-Kochtopf,2,1,anders,672,standard,3,5
Bleistift-Kochtopf,4,2,gleich,256,bonus,2,5
Bleistift-Kochtopf,3,2,anders,738,standard,1,5
Bleistift-Kochtopf,5,3,initial,710,standard,0,5
Bleistift-Kopfhoerer,1,1,anders,672,standard,3,4
Bleistift-Kopfhoerer,4,2,gleich,629,bonus,2,4
Bleistift-Kopfhoerer,6,3,anders,1056,bonus,1,4
Bleistift-Kopfhoerer,1,1,initial,143,standard,0,4
Bleistift-Kugelschreiber,4,2,anders,672,standard,7,8
Bleistift-Kugelschreiber,3,2,gleich,738,standard,6,8
Bleistift-Kugelschreiber,6,3,anders,261,standard,5,8
Bleistift-Kugelschreiber,1,1,anders,663,standard,4,8
Bleistift-Kugelschreiber,1,1,anders,391,standard,3,8
Bleistift-Kugelschreiber,4,2,anders,306,standard,2,8
Bleistift-Kugelschreiber,4,2,anders,607,standard,1,8
Bleistift-Kugelschreiber,2,1,initial,143,bonus,0,8
Bleistift-Papiertaschentuch,2,1,anders,480,standard,2,2
Bleistift-Papiertaschentuch,3,2,gleich,191,standard,1,2
Bleistift-Schwamm,5,3,initial,231,standard,0,1
Bleistift-Spuelmittel,3,2,anders,803,bonus,2,3
Bleistift-Spuelmittel,6,3,gleich,261,standard,1,3
Bleistift-Spuelmittel,6,3,initial,1056,bonus,0,3
Streichholz-Bleistift,1,1,anders,672,standard,3,4
Streichholz-Bleistift,5,3,gleich,938,standard,2,4
Streichholz-Bleistift,5,3,gleich,682,standard,1,4
Streichholz-Bleistift,5,3,initial,712,standard,0,4
Bleistift-Teller,4,2,initial,256,bonus,0,1
Topfdeckel-Bleistift,2,1,anders,306,standard,1,2
Topfdeckel-Bleistift,5,3,initial,629,standard,0,2
Waescheklammer-Bleistift,1,1,anders,643,standard,2,3
Waescheklammer-Bleistift,4,2,gleich,261,bonus,1,3
Waescheklammer-Bleistift,4,2,initial,629,bonus,0,3
Gemuesemesser-Buegeleisen,4,2,gleich,564,standard,7,8
Gemuesemesser-Buegeleisen,3,2,anders,367,bonus,6,8
Gemuesemesser-Buegeleisen,6,3,anders,663,standard,5,8
Gemuesemesser-Buegeleisen,5,3,gleich,629,standard,4,8
Gemuesemesser-Buegeleisen,5,3,anders,643,standard,3,8
Gemuesemesser-Buegeleisen,3,2,anders,352,standard,2,8
Gemuesemesser-Buegeleisen,3,2,anders,938,bonus,1,8
Gemuesemesser-Buegeleisen,6,3,initial,952,bonus,0,8
Geschirrtuch-Buegeleisen,4,2,anders,629,standard,2,3
Geschirrtuch-Buegeleisen,1,1,gleich,820,standard,1,3
Geschirrtuch-Buegeleisen,1,1,initial,621,standard,0,3
Buegeleisen-Glas,6,3,anders,845,standard,6,7
Buegeleisen-Glas,1,1,anders,801,standard,5,7
Buegeleisen-Glas,2,1,gleich,820,standard,4,7
Buegeleisen-Glas,2,1,gleich,629,bonus,3,7
Buegeleisen-Glas,2,1,gleich,726,bonus,2,7
Buegeleisen-Glas,1,1,anders,952,bonus,1,7
Buegeleisen-Glas,3,2,initial,154,bonus,0,7
Holzbrett-Buegeleisen,3,2,anders,564,standard,1,2
Holzbrett-Buegeleisen,1,1,initial,1008,bonus,0,2
Kabel-Buegeleisen,1,1,anders,865,standard,3,4
Kabel-Buegeleisen,1,1,anders,191,bonus,2,4
Kabel-Buegeleisen,3,2,gleich,682,bonus,1,4
Kabel-Buegeleisen,3,2,initial,1028,standard,0,4
Buegeleisen-Kaffee,2,1,gleich,151,standard,1,2
Buegeleisen-Kaffee,2,1,initial,154,bonus,0,2
Kerze-Buegeleisen,4,2,gleich,256,bonus,5,6
Kerze-Buegeleisen,4,2,gleich,1008,bonus,4,6
Kerze-Buegeleisen,2,1,anders,404,bonus,3,6
Kerze-Buegeleisen,2,1,anders,367,bonus,2,6
Kerze-Buegeleisen,6,3,gleich,230,standard,1,6
Kerze-Buegeleisen,6,3,initial,726,bonus,0,6
Buegeleisen-Klebeband,4,2,gleich,1008,bonus,1,2
Buegeleisen-Klebeband,4,2,initial,304,bonus,0,2
Buegeleisen-Kochloeffel,3,2,initial,629,standard,0,1
Buegeleisen-Nadel,2,1,anders,256,bonus,2,3
Buegeleisen-Nadel,2,1,anders,290,standard,1,3
Buegeleisen-Nadel,5,3,initial,825,standard,0,3
Buegeleisen-Papier,6,3,anders,290,standard,1,2
Buegeleisen-Papier,3,2,initial,395,standard,0,2
Papiertaschentuch-Buegeleisen,4,2,gleich,845,bonus,4,5
Papiertaschentuch-Buegeleisen,6,3,anders,820,standard,3,5
Papiertaschentuch-Buegeleisen,3,2,gleich,151,standard,2,5
Papiertaschentuch-Buegeleisen,4,2,anders,208,standard,1,5
Papiertaschentuch-Buegeleisen,2,1,initial,1095,standard,0,5
Plastikverpackung-Buegeleisen,4,2,anders,820,standard,2,3
Plastikverpackung-Buegeleisen,2,1,anders,726,bonus,1,3
Plastikverpackung-Buegeleisen,1,1,initial,151,standard,0,3
Buegeleisen-Seife,4,2,initial,845,bonus,0,1
Buegeleisen-Spuelmittel,5,3,gleich,643,standard,2,3
Buegeleisen-Spuelmittel,3,2,anders,938,bonus,1,3
Buegeleisen-Spuelmittel,6,3,initial,825,standard,0,3
Streichholz-Buegeleisen,5,3,gleich,663,standard,2,3
Streichholz-Buegeleisen,3,2,anders,191,bonus,1,3
Streichholz-Buegeleisen,6,3,initial,952,standard,0,3
Teller-Buegeleisen,6,3,anders,367,standard,3,4
Teller-Buegeleisen,4,2,anders,383,standard,2,4
Teller-Buegeleisen,5,3,anders,352,bonus,1,4
Teller-Buegeleisen,6,3,initial,825,standard,0,4
Tisch-Buegeleisen,3,2,gleich,1008,bonus,9,9
Tisch-Buegeleisen,4,2,anders,306,standard,8,9
Tisch-Buegeleisen,1,1,anders,801,standard,7,9
Tisch-Buegeleisen,4,2,anders,719,standard,6,9
