Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen,Goldstandard
Bleistift-Papiertaschentuch,2,1,anders,480,standard,2,2,3
Bleistift-Papiertaschentuch,3,2,gleich,191,standard,1,2,
Tisch-Buegeleisen,3,2,gleich,1008,bonus,9,9,3
Tisch-Buegeleisen,4,2,anders,306,standard,8,9,
Tisch-Buegeleisen,1,1,anders,801,standard,7,9,
Tisch-Buegeleisen,4,2,anders,719,standard,6,9,
Tisch-Buegeleisen,2,1,gleich,938,standard,5,9,
Tisch-Buegeleisen,2,1,gleich,191,bonus,4,9,
Tisch-Buegeleisen,1,1,anders,1028,standard,3,9,
Tisch-Buegeleisen,2,1,gleich,952,bonus,2,9,
Tisch-Buegeleisen,1,1,anders,154,bonus,1,9,
Seife-Faden,1,1,anders,672,standard,3,3,6
Seife-Faden,4,2,gleich,261,bonus,2,3,
Seife-Faden,1,1,anders,480,standard,1,3,
Plastikverpackung-Feuerzeug,2,1,anders,803,standard,3,3,5
Plastikverpackung-Feuerzeug,4,2,gleich,607,bonus,2,3,
Plastikverpackung-Feuerzeug,2,1,anders,592,standard,1,3,
Feuerzeug-Gemuesemesser,5,3,anders,629,standard,2,2,6
Feuerzeug-Gemuesemesser,3,2,anders,153,standard,1,2,
Gemuesemesser-Holzbrett,1,1,anders,1008,standard,8,8,1
Gemuesemesser-Holzbrett,3,2,gleich,564,standard,7,8,
Gemuesemesser-Holzbrett,4,2,gleich,932,standard,6,8,
Gemuesemesser-Holzbrett,5,3,anders,353,standard,5,8,
Gemuesemesser-Holzbrett,4,2,anders,153,bonus,4,8,
Gemuesemesser-Holzbrett,1,1,anders,151,standard,3,8,
Gemuesemesser-Holzbrett,3,2,gleich,202,bonus,2,8,
Gemuesemesser-Holzbrett,6,3,anders,154,standard,1,8,
Nadel-Geschirrtuch,3,2,anders,704,standard,4,4,3
Nadel-Geschirrtuch,4,2,gleich,825,standard,3,4,
Nadel-Geschirrtuch,3,2,anders,1028,standard,2,4,
Nadel-Geschirrtuch,6,3,anders,164,standard,1,4,
Tisch-Geschirrtuch,1,1,gleich,738,standard,6,6,1
Tisch-Geschirrtuch,1,1,anders,261,standard,5,6,
Tisch-Geschirrtuch,2,1,gleich,710,bonus,4,6,
Tisch-Geschirrtuch,5,3,anders,663,standard,3,6,
Tisch-Geschirrtuch,1,1,gleich,202,standard,2,6,
Tisch-Geschirrtuch,1,1,gleich,154,bonus,1,6,
Glas-Geschirrtuch,1,1,gleich,256,standard,4,4,1
Glas-Geschirrtuch,1,1,gleich,710,bonus,3,4,
Glas-Geschirrtuch,1,1,anders,1028,bonus,2,4,
Glas-Geschirrtuch,3,2,anders,154,bonus,1,4,
Buegeleisen-Hemd,5,3,anders,704,standard,9,9,1
Buegeleisen-Hemd,2,1,gleich,256,standard,8,9,
Buegeleisen-Hemd,4,2,anders,383,standard,7,9,
Buegeleisen-Hemd,4,2,anders,719,standard,6,9,
Buegeleisen-Hemd,3,2,anders,352,standard,5,9,
Buegeleisen-Hemd,1,1,gleich,151,standard,4,9,
Buegeleisen-Hemd,3,2,anders,242,standard,3,9,
Buegeleisen-Hemd,2,1,anders,147,standard,2,9,
Buegeleisen-Hemd,1,1,gleich,952,standard,1,9,
Hemd-Waescheklammer,4,2,anders,261,bonus,7,7,2
Hemd-Waescheklammer,4,2,anders,825,standard,6,7,
Hemd-Waescheklammer,4,2,anders,705,standard,5,7,
Hemd-Waescheklammer,1,1,gleich,151,standard,4,7,
Hemd-Waescheklammer,1,1,anders,147,standard,3,7,
Hemd-Waescheklammer,2,1,gleich,952,bonus,2,7,
Hemd-Waescheklammer,2,1,gleich,154,bonus,1,7,
Bleistift-Holzbrett,5,3,anders,643,standard,1,1,4
Glas-Kaffee,1,1,anders,256,standard,5,5,2
Glas-Kaffee,2,1,gleich,710,bonus,4,5,
Glas-Kaffee,3,2,gleich,629,standard,3,5,
Glas-Kaffee,4,2,anders,202,standard,2,5,
Glas-Kaffee,2,1,gleich,682,bonus,1,5,
Kaffeemaschine-Kabel,1,1,anders,146,standard,6,6,1
Kaffeemaschine-Kabel,2,1,gleich,1088,standard,5,6,
Kaffeemaschine-Kabel,4,2,anders,256,standard,4,6,
Kaffeemaschine-Kabel,2,1,gleich,845,standard,3,6,
Kaffeemaschine-Kabel,2,1,gleich,682,standard,2,6,
Kaffeemaschine-Kabel,2,1,anders,1028,standard,1,6,
Kaffee-Kaffeemaschine,3,2,gleich,328,standard,18,18,1
Kaffee-Kaffeemaschine,5,3,anders,502,standard,17,18,
Kaffee-Kaffeemaschine,1,1,anders,231,standard,16,18,
Kaffee-Kaffeemaschine,2,1,gleich,256,standard,15,18,
Kaffee-Kaffeemaschine,2,1,gleich,845,standard,14,18,
Kaffee-Kaffeemaschine,1,1,anders,600,standard,13,18,
Kaffee-Kaffeemaschine,1,1,anders,290,standard,12,18,
Kaffee-Kaffeemaschine,3,2,gleich,661,standard,11,18,
Kaffee-Kaffeemaschine,3,2,gleich,738,standard,10,18,
Kaffee-Kaffeemaschine,6,3,anders,710,standard,9,18,
Kaffee-Kaffeemaschine,4,2,anders,881,standard,8,18,
Kaffee-Kaffeemaschine,4,2,anders,825,standard,7,18,
Kaffee-Kaffeemaschine,2,1,gleich,216,standard,6,18,
Kaffee-Kaffeemaschine,4,2,anders,728,standard,5,18,
Kaffee-Kaffeemaschine,1,1,anders,153,bonus,4,18,
Kaffee-Kaffeemaschine,2,1,gleich,151,standard,3,18,
Kaffee-Kaffeemaschine,2,1,anders,402,standard,2,18,
Kaffee-Kaffeemaschine,5,3,anders,154,standard,1,18,
Feuerzeug-Kerze,6,3,anders,697,standard,12,12,1
Feuerzeug-Kerze,2,1,gleich,416,bonus,11,12,
Feuerzeug-Kerze,2,1,gleich,749,standard,10,12,
